Name,Project,Organization
Dhruv Sachdev,"Develop a Shared Data Resource Focused on Dependencies, Risks and Vulnerabilities in Open Source Software",CHAOSS Project
Aoji Xie,Authentication and Authorization Service for the Alliance of Genome Resources,Open Genome Informatics
Rashmi Raj,Modern Statistical Modeling in Stingray,openastronomy
Lokesh Rana,Visualization Of Systems-Level Gene Annotation  (UI-Side),Open Genome Informatics
Fernando Martin,Port of AGM from Python 2 to Python 3,RoboComp
Abhishek Kumar Jha,Android Support for ENIGMA,The ENIGMA Team
Z0marlin,OpenEBS: Update mount-points and capacity of Block Devices without restarting NDM,CNCF
Sudeep Sidhu,Implement JointsMethod,SymPy
Zeeshan Rafique,M-extension support for SERV,Free and Open Source Silicon Foundation
Arjun Gupta,Implement feature flags & platform parameters,Oppia Foundation
Tushar Jain-2,Accuracy and parallel computation in parton density calculation,CERN-HSF
Germano dos Santos,PySal: Open Source Facility Location Modeling (spopt) Development,NumFOCUS
Jaiwanth,Exporting Conversations From Element,Matrix.org
Anshuman Singh-1,Writing SAST Vulnerability Rules,GitLab
Geetansh Saxena,COLOUR: Adding new colour models,NumFOCUS
Abhirup Pal,EOS: Improving Adobe XD Plugin and Creating Angular Library,Python Software Foundation
Mihai Popescu,"Data streaming in scientific workflows, implementation for Toil",Open Bioinformatics Foundation
Jeppe Blomgren,WebAssembly loader,MetaCall
SUSHANT A.A.,Verbs to Gio::Actions,Inkscape
Zulai Wang,USING BALANCED_READS ON RGW CALLS TO RADOS,Ceph
Maneesh P M,Improve suggestion and full-text search features in Kiwix,Kiwix
Zihao Mu,Loop closure algorithm based on HF-Net+BoW for depth fusion,OpenCV
Dhairya Khanna,Gamified Knowledge Base Completion Plugin for Wikibase/Wikidata,Wikimedia Foundation
Ross Viljoen,Implementing Advanced Variational Gaussian Process Models,The Julia Language
Dev Sebastian,Support for Particle Physics in Catrobat,International Catrobat Association
Nur El-Din El-Rez,Room Database Integration,International Catrobat Association
Kartikay Sharma,PSLab: Add support of PSLab to sigrok,Digital Impact Alliance (DIAL) at UN Foundation
Rishabh Kumar,Extend RFC-7427 Signature Authentication Support To IKEv2 With EDDSA Support,The Libreswan Project
Devesh Kumar,Create and Enhance APIs related to Education Platform,JBoss Community
Katrix,Cross compiling “Shapeless 2” to “Scala 3”,Scala Center
Eshan Tripathi-1,Website Updates,PEcAn Project
Dmitrii Klepikov,3D samples using OpenGL and GLFW,OpenCV
Maximiliano Sandoval,Design tooling: port to gtk 4,GNOME Foundation
dvd48,Sparkling Embroidery,International Catrobat Association
Abhimanyu Rawat,RIoTPot - Honeypot for IOT/OT devices,The Honeynet Project
mablin,Kanban Board Plugin for Joplin,Joplin
Ethin Probst,Audio output protocol,TianoCore
ZheNing Hu,Use ref-filter formats in git cat-file,Git
Noah Bouchier,ESDA enhancements: Distortion Index,NumFOCUS
Asha Sulaiman,Integrate Spoke Peer-to-Peer Texting,CiviCRM LLC
boron,LIDAR visualization application on AGL using ROS2,The Linux Foundation
Pratik Dey,Integrate VirtualCodebase with Deltacode,AboutCode
Vikram Atreyapurapu,Implement UNDO and transactional changes,BRL-CAD
Aaryan Kothari,Monumento iOS application,AOSSIE
Rohan Lekhwani,Poll App Mega Extensions,Rocket.Chat
Aniket Bhat,DefectDojo Modern UI,OWASP Foundation
Wahab Oguntade,Chatbot for AsyncAPI Creators Project Proposal,Postman
Zelong Yue,Test driver API coverage,libvirt
Pratyush Ranjan,CUPS Filters: Converting Filters to Filter Functions,The Linux Foundation
Vishwas Adiga,A Modular Approach To The App Inventor Projects View,MIT App Inventor
Debabrata Mandal,Network graph visualisation and animation support in Javis,The Julia Language
danseraf,Software Heritage Code Scanner Improvements for Production Environments,Software Heritage
Singh Prabhat,Adding the Ability To BCF Libraries to connect to BCF API's.,BRL-CAD
Shivam Singh-3,Redesign and develop APISIX landing page,The Apache Software Foundation
Marvin Häuser,Integration of a verified Image Loader,TianoCore
Apoorv Srivastava,Implement lightweight checkpointing,Oppia Foundation
Alexander Slesarev,WAL-G optimization backup storage by remote-copy APIs,PostgreSQL
Pedro Falcato,EXT4 Filesystem driver,TianoCore
Lohith Munakala,Machine Learning for Sea Floor Sampling and IOOS Demo Data Center migration to Jupyterbook,Integrated Ocean Observing System (IOOS)
Sarita Singh,Integrating ScanCode Toolkit,FOSSology
rishabhsingh3003,Precision Landing Improvements using Depth Camera,ArduPilot
DEVANSH DIXIT,Project Recommendation System,CircuitVerse.org
Param Mirnai,Integrating scikit-learn into Syft,OpenMined
isabella Macchivello,Changing the frontend of OrcaSound,Orcasound
Syed Fahad,Implementation of a new Quad-double type for Boost.Multiprecision,Boost C++ Libraries
Fernando Casabán Blasco,Web app to generate RDF from DBpedia abstracts - Fernando Casabán Blasco,DBpedia
Bala Dhinesh,Virtual FPGA Lab,Free and Open Source Silicon Foundation
ear7h,TOML Support in dhall-haskell,Haskell.org
Sagilio,Casbin for .NET,Casbin
Aditya Ahuja,Normalizing Flows for Fast Detector Simulation,Machine Learning for Science (ML4SCI) Umbrella Organization
Yash Mathne,Investigate the current state of syslog ng on MacOS,syslog-ng
willpiper,Custom Firmware Builder,ArduPilot
Filip Adamik,A Stitch In Time (saves nine),The Honeynet Project
Archit_Agrawal,RooUnfold - Efficient deconvolution using state of the art algorithms,CERN-HSF
kfb19,Tackle Security Issues of OpenMRS,OpenMRS
Ishaan Arora,Upgrade Django-based Website,Inkscape
Piumal Rathnayake,Improving Functionalities of DHIS Connector Module,OpenMRS
Anantha Rao,Decoding quantum states through Nuclear Magnetic Resonance,Machine Learning for Science (ML4SCI) Umbrella Organization
Psyogi Soma,Re-creating the Leech Heartbeat Network Model Tutorial using the Neuron Simulator in Python and NeuroML,INCF
Nizar Benshaqi,Improve the VideoLAN crash reporter in Go and Vue.js,VideoLAN
Pulkit Sharma,Security Validator for Jenkins Kubernetes Operator,Continuous Delivery Foundation
Mohammad Hesam Shaelaie,Expanding support for the solution of bilevel optimization problems in JuMP.,NumFOCUS
Bui Quang Minh,Add support for checkpoint/restore read and write queue of UDP socket,CRIU
Husni Faiz,Beagleboard BSP Projects,RTEMS Project
Mahak Porwal,WP1 Selection,Kiwix
Konstantinos Pallikaris,Parallel Geometric Random Walks with Sparse Numerical Optimizations,GeomScale
Yeshuai Cui,Merge Crossplane/OAM-Runtime with KubeVela by specify version,CNCF
Allan Juan,Language Power Tools,Rocket.Chat
George Vaindirlis,MPD Server in VLC,VideoLAN
Pushpinder Pal Singh,Making VLC iOS app a one stop shop for all the media consumption and management,VideoLAN
Akshay_Sharma,Create a MIME Sniffing Library for Scrapy,Python Software Foundation
Tomoki Sugiura,Explicit Allow-Listing for ICMP,Cilium
Rohit Menon,Ractor-supported libraries,Ruby
Abanoub Ghadban,tracker: Improve custom ontology support,GNOME Foundation
Mario Robert D'Ambrosio,Python GUI Visualisation for MOLTO-3BP Engine,AerospaceResearch.net
Siddharth Naithani ;sn99,Implement butteraugli in av-metrics,Xiph.Org Foundation
Rachitt Shah,Stingray: DAVE GUI update,openastronomy
Mariam Fahmy,Adding new activities to GCompris,KDE Community
Nitesh Sinha,New General Navigation Menu and UX improvements,OpenWISP
victorcwai,Update Kanidm project: MFA backup code,openSUSE Project
Ali A. Hariri,On the potential of graph-based models in High Energy Physics,Machine Learning for Science (ML4SCI) Umbrella Organization
Aniket Ray,MediaPipe Cross-Platform Solution,MediaPipe
Monalisha Ojha,Upgrading the Ganga graphical user interface,CERN-HSF
Cameron Connell,Modernize the underlying data struct of edwood,Plan 9 Foundation
Vaibhav Thakkar,Counting linear extensions,GeomScale
zhixiang Chen,casbin enhancement,Casbin
Angie Ortiz Giraldo,LibreMesh Pirania UI,freifunk
Shuai Wang,LIBCEPHFSSQLITE — SQLite VFS on Ceph File System,Ceph
Steph Prince,Conversion of public neurophysiology datasets to NeuroData Without Borders format,INCF
Aayush Sahu,AsyncDiff,Postman
SKefalidis,Thunar Evolved,Xfce
Jaidyn Levesque,Caya Renovation,Haiku
Justin Fargnoli,Alive2 for SIL,Swift
Rohit Verma,(Live) listener statistics for Icecast,Xiph.Org Foundation
Khuda Dad Nomani,AsyncAPI duplications finder aka document optimizer,Postman
Krishna Kariya,Fix Fundamental Issues in LLVM IR,The LLVM Compiler Infrastructure
