Name,Project,Organization
Anna Bogdanova,Extend CSS Selectors Level 4 Support in cssselect,Python Software Foundation
Aman Dwivedi,Adding React Library to new UI,FOSSology
Kensei Nakada,web-based simulator for scheduler behaviour (Project: Kubernetes),CNCF
Jeffrey Paul,3D Plotting,openastronomy
Rakshit P,Matrix State of the Art,Pharo Consortium
Alejandro Fernández,An object detection component for LearnBlock,RoboComp
nakuldx,corobo Enhancement Project,coala
Chuyang Chen,Integrate Enzyme into Rust to Provide High-performance Differentiation in Rust,The LLVM Compiler Infrastructure
aniket agarwalla,Moving Least Squares for point set smoothing and differential properties estimation,CGAL Project
Alluri Harshit Varma,Quality Improvements for Light & Shadow,The Terasology Foundation
James Culver,New Release,Pidgin Instant Messenger
Karan Singh,Vitrivr Reads,vitrivr
qlin,Pocket Code for Android: HMS API Machine Learning and AI support,International Catrobat Association
Aditi Verma,Integrating NumPy into PySyft,OpenMined
Sinan Gençoğlu,Background Estimation with Neural Autoregressive Flows Proposal,Machine Learning for Science (ML4SCI) Umbrella Organization
Akash Dhiman,Work on enhancing Zulip's mobile experience.,Zulip
Bhuvaneshwar Vemula,Command Palette,Godot Engine
Nicholas Mancuso,Upgrade Java Grammar from ANTLR2 to ANTLR4,Checkstyle
Emma Bastås,Integrating performance improvements from the Elm compiler into elm-format,Elm Tooling
Pranav Saxena,Implement Retest Functionality,OWASP Foundation
Yasharth Dubey,The Multisite project,The Palisadoes Foundation
Shehjad Khan,TensorFlow Lite - Natural Language Processing Example Generation,TensorFlow
Archit Rungta,OpenCV bindings for Julia,OpenCV
Nabeel Danish,Polygon Based Collision Detection System,The ENIGMA Team
Harshit Chopra,"Git credentials binding for sh, bat, and powershell",Continuous Delivery Foundation
Saloni,Coding style checker bot for Gerrit,Haiku
Arsh Sharma,Improve the usability of cert-manager on multiple cloud providers,CNCF
Tarun Moses Akumalla,RDF Writer for Golang,SPDX
KUMAR SHIVAM,Implement and improve several accessibility functions in Joomla! Keyboard navigation,Joomla!
Amr Elsersy,Machine Learning Extension to Ignition Gazebo,Open Robotics
Divyasheel,GSOC 2021 Proposal - GUI for listing and managing available IPP services,The Linux Foundation
Roberto David Aleman,Aerospaces sats,AerospaceResearch.net
Mrigank Anand,Extending functionalities and Re-Design WebUI Graphs,OWASP Foundation
David Ayotte,Implementation of the graded ring of quasimodular forms,SageMath
Ujjwal Agarwal,JSON Support for Golang libraries,SPDX
Georgios Giannakoulias,Development of a DIY robot kit for educators,GFOSS - Open Technology Alliance
Atharva Raykar,Finish converting submodule to builtin,Git
Soumyadip Mondal,Building a Cronet-based HTTP package in Dart,Dart
Aditya Kane,Implement and publish state-of-the-art ML models in TensorFlow 2 : ResNet-RS and EfficientNetV2,TensorFlow
Ahmed-1,PyTorch-Ignite: Development of a Higher-level API,NumFOCUS
Isabel Lima,Shared Storage for Property Wrappers,Swift
Deepak Singh Rathore,Typed API for LuaRocks,LabLua
Julian Komaromy,Mesh Decimation using Probabilistic Quadrics,CGAL Project
Adam Li,An Electrophysiology Connectivity Package in the MNE Environment,Python Software Foundation
a-yyg,SAGA2 engine,ScummVM
Shailesh Kanojiya,GSOC - Create cypress tests for wikipedia-preview,Wikimedia Foundation
Mahanaz Atiqullah,"A ""Bite-Sized"" BitArray",Swift
Nasir Hemed,Metadata extraction using dav1d,VideoLAN
Aaryan Porwal,Visual Regression Testing of Ceph-Dashboard,Ceph
Benura Abeywardena,Improve Robustness by fixing Issues / Feature Requests from the backlog,The Apache Software Foundation
Kathrin Elmenhorst,Measuring QUIC and TLS censorship with OONI Probe,Digital Impact Alliance (DIAL) at UN Foundation
Bayram Çiçek,100 Paper Cuts,LibreOffice
Venkata Shravan,Migrating sample-platform from Kernel-based Virtual Machine to Google Cloud.,CCExtractor Development
Ritik Jain,Peer to Peer Message Transfer,AOSSIE
The_DarkFire_,implementation of SMP HALs,ReactOS
Sarthak Singh,Scan8,SCoRe Lab
George Mitenkov,Fixing fundamental issues in LLVM IR: Introducing a byte type to solve load type punning,The LLVM Compiler Infrastructure
Sahil,Improve CVE database structure and tracking of multiple reports,Python Software Foundation
Xinyu Wang,Optimize Kernel::require API for Ruby 3,Ruby
Kunwar Maheep Singh,Implementations of AVX-512 functions,Open Bioinformatics Foundation
Hariom Chaturvedi,PcapMonkey Improvements,The Honeynet Project
Ayush Shrivastava,Irdest Android Client,freifunk
Alessandro Cheli,Applied equality saturation with Metatheory.jl,The Julia Language
infaz,Support JOOQ API within gora-sql module,The Apache Software Foundation
Shubham Awasthi,A Frontend For Loopsim Framework To Model Workflows With Closed Loops,"Department of Biomedical Informatics (BMI), Emory University School of Medicine"
Himanshi Kalra,Regression Testing of Geometry Nodes,Blender Foundation
Victor Hugo Cano Gil,Extended Interoperability of ChemTools and Quantum Chemistry Software,Open Chemistry
TinTin,Revamping the Juice Shop Score Board,OWASP Foundation
Dhanmoni Nath,Enabling and prototyping JavaScript visualizations in the Qt-based viewer TOPPView (OpenMS).,Open Bioinformatics Foundation
Manav Agarwal,Adapt schema editors to operate from model states instead of fake rendered models,Django Software Foundation
Octávio H. Müller Barrio,Liquid Galaxy Image Satellite Visualizer,Liquid Galaxy project
Parth Pant,On-Canvas Alignment Guides,Inkscape
Vipul Chhabra,Brokering Continuous Delivery through the ELIXIR Cloud service registry,Global Alliance for Genomics and Health
Noah Liguori-Bills,Expand ModelBricks.org and VCell API,National Resource for Network Biology (NRNB)
Swapnal Shahil,SCoRe Lab Open MF Proposal,SCoRe Lab
Jenniline Ebai,Activity Cull,CiviCRM LLC
Baidyanath Kundu,Utilize second order derivatives from Clad in ROOT,CERN-HSF
D R Siddhartha,Scrapy: Feed Enhancements,Python Software Foundation
Pratyush Tiwari,Cut Mode,Pitivi
zwerg4,Catrobat iOS Team proposal for Ticket: Support for Catrobat Language version 0.994 - 0.99992,International Catrobat Association
Sophia He,Uncovering the Enigma of Type-Ia Supernovae: Thermonuclear Supernova Classification via their Nuclear Signatures,Machine Learning for Science (ML4SCI) Umbrella Organization
Piotrek Brzeziński,"""Focus on the music"" - music-oriented editing for everyone",Pitivi
Anubhav Singh-1,VLC iOS UI update,VideoLAN
Manas Gupta,Clang Static Analyzer: Constraint Solver Improvements,The LLVM Compiler Infrastructure
Rasswanth S,Implement FALCON: Honest-Majority Maliciously Secure Framework for Private Deep Learning in SyMPC,OpenMined
Sumitra Saksham,Multilingual Support in the App,The Palisadoes Foundation
Mrinalkanti Roy,3D CAD scripting using Smalltalk,Pharo Consortium
Vivek Agrawal,Revolutionizing the Tasks API,Learning Equality
Pranav Mahajan,A Python toolbox for computing high-order information in neuroimaging,INCF
M. Vignesh Venkataraman,JaxModel: A high level API for building purely functional models suitable for Molecular Predictions & Simulations,Open Chemistry
Samarjeet Singh,Infinite Scroll,Navidrome
Purvansh Singh,Banking Service with Open Risk and Hydra Ecosystem,Hydra Ecosystem
Aman  Verma,Implementation of Physical Shape Function,CERN-HSF
jaxmatrix,3Dmol UI Design and Improved Controls,Open Chemistry
Yash,Webiu,SCoRe Lab
S.M Mukarram Nainar,TX AArch64 Doubles SIMD Assembly,FFmpeg
Haris Zafeiropoulos,From DNA sequences to metabolic interactions: building a pipeline to extract key metabolic processes,GeomScale
Tanmay Singal,Implement IIIF read in Cineast,vitrivr
Rishab Mallick,Extract important information from scientific papers,Genome Assembly and Annotation
Nabeel Merchant,IMS QTI 2.2 DEVELOPMENT PROPOSAL,Learning Equality
Tim Ramlot,'kubectl cert-manager install': A CLI plugin to make it easy to install and verify the installation of cert-manager,CNCF
Jake Watson,Create robust visual fiducial tags,OpenCV
strukovas,Machine Learning Model for the Planetary Albedo,Machine Learning for Science (ML4SCI) Umbrella Organization
Ganesh Pawar,"Improve tooling, integrations, and testing infrastructure of Zulip",Zulip
Omkar  Bhilare,BeagleWire Software,BeagleBoard.org Foundation
Matan,GOING NATS,Ceph
Rupal Sharma,Path finding algorithm using OpenCV,"Center for Research in Open Source Software, UC Santa Cruz"
Aishwary Saxena,Write Frontend Tests,Oppia Foundation
Siddhant Sehgal,Paste Special Proposal,Joplin
Isaiah Blanks,Destination: Sol World-Gen Modularization,The Terasology Foundation
gupt4j1,Improvements In WebUI for Nettacker,OWASP Foundation
Mohammad Arshad,Deluge Mobile client,CCExtractor Development
Ninad Jangle,Block Based Circuit Design,Free and Open Source Silicon Foundation
Ahmed Moorsy,Arabic Sign Language Recognition,MediaPipe
Michal Lenc,NuttX Support for Rapid Control Applications Development with pysimCoder,The Apache Software Foundation
Bikram Biswas-1,Multiple SSH key holding on CloudStack,The Apache Software Foundation
JL_Meirelles,Single-Cell pathway annotation pipeline,Open Genome Informatics
Halil İbrahim Ceylan,Buildpacks Lifecycle Prepare Phase,CNCF
Vinayak Sankar,Remote Test System for AXIOM Remote,apertus° Association
luc65r,FFmpeg x86-64 assembly FFT,FFmpeg
Tamara David,Advancement through project merge,International Catrobat Association
Paulette Vazquez,Geospatial Tools for Post-Disaster Housing Analysis,Mayor's Office of New Urban Mechanics (City of Boston)
ApratimRanChak,Alexa Top Sites Captcha and Tor Block Monitoring,Digital Impact Alliance (DIAL) at UN Foundation
Rachana Podaralla,On Canvas Marker Editing,Inkscape
Nickil Maveli,Detecting Joint Meaning Construal by Language and Gesture,Red Hen Lab
Veenit Kumar,Implement Edge Coloring Algorithm for pgRouting by the Boost Graph Library.,OSGeo - Open Source Geospatial Foundation
Rishabh Sanjay,Adding New Plots to ArviZ,NumFOCUS
Sarthak Saxena,API Conversion API,Postman
Prateek Ganguli,Android SDK tools in Debian,Debian
Mikhail Nitenko,H264/HEVC ARM64 10-bit assembly,FFmpeg
taylorzhancher,Enhance Accessibility of More ScummVM Engines by Text To Speech (TTS),ScummVM
Siddharth Bhatia,Multi-Agent Reinforcement Learning Environments in GridWorlds.jl,The Julia Language
Fang,APISIX ingress controller integration with Knative Serving,The Apache Software Foundation
Aviral Jain,Monitoring setup for EvalAI,CloudCV
Sang Woo Bae,Apache CloudStack - Synchronization of network devices on newly added hosts for Persistent Networks,The Apache Software Foundation
Dhananjay Purohit,Improve site architecture and add features to the Orcamap,Orcasound
Arash Ahmadian,Capturing an abstracted model of Xilinx Artix7 using VTR,SymbiFlow
Siyi Wei,Fairness extension for mlr3,The R Project for Statistical Computing
Savish Bedi,Static code upload challenge evaluation and enhancements in GitHub based challenge creation,CloudCV
Abhay Raj Singh,libnbd/nbdcopy acceleration using io_uring,libvirt
Rahul Chauhan-1,Rucio and CS3API to enable data management for the ScienceMesh cloud,CERN-HSF
Omkar Prabhune,Apertium Browser Plugin,Apertium
Purhan Kaushik,Revamp Netengine and add its SNMP capability to OpenWISP Monitoring,OpenWISP
Rishikesh Vanarse,IMU Calibration & Self-Correction Algorithm for Open Source Autonomous Vehicle Controller,"Center for Research in Open Source Software, UC Santa Cruz"
Avishrant Sharma,Integration of alternate Code Analysis Tools and Asynchronous Scan Enhancements.,AboutCode
Bhaarat Kumar Khatri,Update the front-page of Wikimedia projects,Wikimedia Foundation
Atharva Nimbalkar,Implementation of NEON functions (SIMDe),Open Bioinformatics Foundation
Aner Lucero,Enhanced figure support in pandoc,Haskell.org
Mohammed Jeeshan Sheikh,SciML : Discretizations of partial differential equations,NumFOCUS
Aditya Kasibhatla,Graphical-User Interface for affective human-robot interactions,RoboComp
Sayan Nath,💻 GSoC 2021: TensorFlow Lite Proposal,TensorFlow
Vishv Kakadiya,Transliterations editor and API,Cuneiform Digital Library Initiative (CDLI)
Yassmin Hesham,Simultaneous path planning and following using Model Predictive Control (SPAF),RoboComp
lvrcek,Reactome Pathway Embeddings,Open Genome Informatics
rgo3,A Feature Probe API for cilium/ebpf,Cilium
Rishabh Ranjan Jha,Feature Enhancement - Cookie Management System,Joomla!
Aniket Giri,Implement 3D scene visualization support using Potree and integrate with MapMint,OSGeo - Open Source Geospatial Foundation
María Belén,Retain active status of authentication tokens,Metasploit
Ajay-1,gghexbin: An R package to enable the creation of high quality hexagonally binned graphs that can exploit all of ggplot2’s functionality,The R Project for Statistical Computing
Arkajyoti Basak,Improve and add to the drone exercises,JdeRobot - Universidad Rey Juan Carlos
Mohammad Warid,spectral-workbench.js JS/Rails integration (Public Lab),Public Lab
Ank,An orchestration system for MGnify running on distributed heterogeneous compute clusters,Genome Assembly and Annotation
Isaac Miti,Design and implementation of Code is Science front-end using ReactJS,Open Bioinformatics Foundation
William Kimmerer,Differentiable GraphBLAS,The Julia Language
Sachin Som,OpenMF-GSOC'21 Proposal-Sachin Som,SCoRe Lab
Yatharth Vyas,Joomla Feature Enhancements,Joomla!
Stefanos Vlachos,EAT - EAP Additional Testsuite,JBoss Community
Thomas Huber,OpenACC Diagnostics from the OpenMP Runtime,The LLVM Compiler Infrastructure
Aman Godara,GSoC Proposal for Fortran-lang,Fortran-lang
Meghal Bisht,Eventyay Open Event : Refractor UI using React with Next,Digital Impact Alliance (DIAL) at UN Foundation
Shubhank Saxena,"MediaCMS - modern, fully featured video and media CMS",GFOSS - Open Technology Alliance
antelk,Support of the simulation-based inference with the model fitting toolbox,INCF
Aryan Kenchappagol,Implement 3D scene visualization support using Potree and integrate with MapMint,OSGeo - Open Source Geospatial Foundation
federikovi,Developing WellcomeML further for the visualisation of academic research data,Open Bioinformatics Foundation
Zhuoran He,TLA+ Spec for Async Commit,CNCF
Archisman Dey,Improvemens to simpPRU,BeagleBoard.org Foundation
Sankalp (codesankalp),Bring professional efficiency to OpenWISP WiFi Login Pages,OpenWISP
Timo Rantakaulio,"Finnish, Olonets-Karelian and Karelian lexicon development",Apertium
Viet Hoang,LORIS Codebase Maintenance and Automated Testing,INCF
Sundaram Dubey,Reimplementing Open Event Frontend in React,Digital Impact Alliance (DIAL) at UN Foundation
Yu Kimura,Develope benchmark tool specialized in real-world rails application,Ruby
Nishtha Bodani,Beacon,CCExtractor Development
Purva Thakre,Quantum Gate Decomposition for QuTip,NumFOCUS
Heshan Andrews,Export and Import Feature for the OMRS Reporting Module,OpenMRS
Krishita Jain,Redesigning and Updating the Learner Dashboard Page.,Oppia Foundation
Hritik Vijay,VulnerableCode importers refactoring and addition,AboutCode
Sidharth Shambu,CCSDS Space Packet / USLDP Transport Layer for Python and MicroPython,LibreCube Initiative
Zixuan Li,Improving Zulip Bots and Integrations.,Zulip
Ali Sedaghati,Learning Loop Transformation Heuristics,The LLVM Compiler Infrastructure
Hardik Thami,Implement a CheckBox Group in App Inventor,MIT App Inventor
Shoaib Ahmed Siddiqui,3D Convolutions for GPU,CERN-HSF
Alexander Galarraga,Dynamics Algorithmic Improvements,SageMath
Vuong Ho,Opening hours tag evaluator,OpenStreetMap
Harshita Mangla,User Story - Improvements and New Features,Python Software Foundation
Alan Cueva,Custom formatting of strings in MariaDB queries,MariaDB Foundation
Ethan Long,nIME,Plan 9 Foundation
Kabir,Finalizing the 2D Regularized Boolean Set Operations Demo,CGAL Project
Ajit Mujumdar,Translation System Refinement,Public Lab
Praveen Sahu,CuPy: Extending CuPy coverage of SciPy functions,NumFOCUS
nrumeshp,COMDEV-412 Apache DolphinScheduler Parameter coverage,The Apache Software Foundation
Alejandro Rusi,Courseware as Code Enablement,GitLab
Saransh Chopra,Automated Twitter bot to run PyBaMM Simulations,NumFOCUS
Toshiki Maekawa,Utilize LoopNest Pass,The LLVM Compiler Infrastructure
Evan Lee,Assessing the Performance Effects of Adding New Synthesized Rewrite Rules to Halide,Halide
Saswata Mukherjee,Smart automation for project documentation and website,CNCF
Stelios Malamas,Add machine-readable debug & stats /proc file,Samba
Shubhamjain,Write missing unit tests,LibreOffice
Mehdi Mabrouki,"Suggest, implement and publish state-of-the-art ML models in TensorFlow 2",TensorFlow
Kush Kothari,[Data Retriever] Adding Spatial Dataset Support - Kush Kothari,NumFOCUS
Hemanth Krishna,[Litmus Portal] Authentication Module Refactor and OAuth Implementation,CNCF
Akhil J Nair,Adapting algorithms to C++ 20 and Ranges TS,STE||AR Group
Albert Morea,Orbit Satellite Visualizer for Liquid Galaxy,Liquid Galaxy project
chazuttu,PyAfipWs: Library for  Developers (PyAr),Python Software Foundation
Leo,Expanded and Enhanced Big Data Infrastructure on Gentoo,Gentoo Foundation
Shubham Kumar-1,Geo Team Proposal: Improvements to backup and restore process,GitLab
Shreya Agarwal,Result Reporter Tool for Bears,coala
sary nasser,Bringing the context to the translators by a magic gate .,LibreOffice
Tobias Soppa,Implement ClosedTabCache,Chromium
Darshpreet Singh,Develop an Android Mobile Application For Newborn Clinical Decision Support,LibreHealth
Naoto Ono,Tests for debugger,Ruby
Claudio Cambra,Plasma Mobile - Akonadi Calendar,KDE Community
Julius Marozas,Gradually Typed Hasktorch,Haskell.org
Nanubala Gnana Sai,A Framework for Multiobjective Optimizers,mlpack
HanwGeek,Implement sorting methods for PostGIS data types before building GiST index,OSGeo - Open Source Geospatial Foundation
Manikya,FastAI.jl Development,The Julia Language
Aditya Jeppu,Video Sequence Editor Improvements - Individual strip previews and modification indicators,Blender Foundation
Abhi Kulshrestha,Ask SCORE - Community App,SCoRe Lab
Fruityloops,Application for Embroidery Robot Programming using Pocket Code IDE,International Catrobat Association
Estefania Barreto-Ojeda,MDAnalysis module to calculate membrane curvature,MDAnalysis
Eesha Arif,Improve Frontend Type System,Oppia Foundation
Khaled Emara,XFS FUSE FreeBSD Port,FreeBSD Project
Pulak Malhotra,Heap Viewer,Rizin
Ritik Kumar Srivastava,GSoC’ 21: The Palisadoes Foundation,The Palisadoes Foundation
Matthew Filipovich,Modern Plotting Machinery for the Large Hadron Collider's Monte Carlo Event Analysis Tool,CERN-HSF
Nghia Duong,Faces engine Improvements,KDE Community
Minshuo Chen,Efficient and Scalable LP-based Multi-Stage Decision Making in R,The R Project for Statistical Computing
Xiaojie Yi,XFS Filesystem Support,Haiku
Matías Ceferino Demarchi,OpenLex: Migration to Python 3 and Py4Web,Python Software Foundation
ankit2001,Bug Logging Tool,OWASP Foundation
Harshal Dupare,Adding Interactive Notebooks for Algorithms Implemented in NetworkX,NumFOCUS
arpitvaghela,Integrating Pandas into Syft,OpenMined
Fabian Schempp,Porting popular modifiers to Geometry Nodes,Blender Foundation
Nikhil Agarwal,GSoC 2021 Proposal -- Implement schema validators for the handler params  (Nikhil Agarwal),Oppia Foundation
Umang Taneja,MIGRATE SPDX ONLINE TOOLS TO DJANGO 3,SPDX
Eshan Arora,Automatic Generation of schema from directory,Python Software Foundation
Nadezda Lutovinova,Finding bugs related to memory errors in Linux Kernel and improving environment model specifications for static verification,The Linux Foundation
Gangavarapu Praneeth,Write Frontend Tests,Oppia Foundation
Khanh-Tung Nguyen-Ba,GSOC Stan Proposal - Bayesian Computation Benchmark,NumFOCUS
Divyanshu Madan,Enhancing and extending clang-bind,Point Cloud Library
Hannes,"Utilizing Speech-to-Speech Translation to Facilitate a Multilingual Text, Audio, and Video Message Board and Database",Red Hen Lab
Arpan Parikh,Improve Metric Module,NumFOCUS
Arijit Kundu,Faces of GNOME,GNOME Foundation
Rishabh Vasudevan,"""Hey Rodney"" Wake Word Detection",JBoss Community
Shivanshu Tyagi,Speech recognition using OpenCV Audio IO module,OpenCV
He Yang,ReactOS implement iernonce.dll for RunOnceEx,ReactOS
Arkajyoti Bhattacharjee,Improvements to nls(),The R Project for Statistical Computing
Anant Thazhemadam,Tight-Binding Atomic Graph Networks - Orbital Graph Convolution Neural Network,The Julia Language
Manan Jethwani,New library catalogue UI for Kiwix-serve,Kiwix
Prajna,Bioinformatics with Jupyter Notebooks,Open Genome Informatics
Harsh Kumar,Adding new activities,KDE Community
SunTzunami_8_24,FURY: Ribbon and Molecular Surface Representations for Proteins,Python Software Foundation
Ziwei XU,Towards a neural extraction framework,DBpedia
Liangda Wang,Apache ShardingSphere - Proofread the Oracle DDL/TCL SQL Definitions,The Apache Software Foundation
Akshit Kushwaha,Tests for the VCL graphics backend,LibreOffice
visvesh subramanian,Redesigning Health's MainView,GNOME Foundation
Fredrik Wieczerkowski,Inlay type hints for SourceKit-LSP,Swift
Saubhik Mukherjee,LSB: Analysis & Fixing of Race Condition Warnings in the Linux Kernel,The Linux Foundation
Harshitha S,Formal Verification of OpenRISC’s Mor1kx processor using yosys,Free and Open Source Silicon Foundation
Liq Tao,Inlining: using locally optimal inlining decisions,The LLVM Compiler Infrastructure
Ayas Behera,Extending the features of the vulnerable code snippets and redesigning the score board,OWASP Foundation
Antonio Gomes,3D Barycentric Coordinates for Convex Polyhedra with Triangular Faces,CGAL Project
Vasudev Gupta,Implement and publish state-of-the-art ML models in TensorFlow 2 & deploy them on mobile devices using TensorFlow Lite,TensorFlow
Manish Kumar Shah,OpenWISP REST API,OpenWISP
felipe bivort haiek,GPU backend for QuTip,NumFOCUS
Soham Dixit,Distributed lit testing,The LLVM Compiler Infrastructure
Sai Rohitth Chiluka,Improving the User Experience of Zulip Terminal,Zulip
Ivan Molodetskikh,Shell: update screenshot and screen recorder,GNOME Foundation
Parth Pratim Chatterjee,Direct Code Execution Modernization,The ns-3 Network Simulator Project
Leonardo Cumplido,Python Argentina: <PyZombis project> Continue the implementation of the course in the Runestone environment,Python Software Foundation
Abdallah Elshamy,Jupyter Notebook Integration,GNU Octave
Leandro Doctors,Clojure CLI Build Tools in Debian,Debian
Otávio Oliveira,Visit the World,Liquid Galaxy project
Shu Richmond,Slagora API and Admin Dashboard,AOSSIE
Sachin Chauhan,Eventyay Open Event: Open Event Frontend Reimplementation,Digital Impact Alliance (DIAL) at UN Foundation
Pranav Rajpal,Improve support for singledispatch,mypy
Yashraj Desai,Discovery Search and Advanced Search features,Cuneiform Digital Library Initiative (CDLI)
Dharna Chandrakar,Prepare cyjShiny for R Package  Repository Submission,National Resource for Network Biology (NRNB)
Lisardo Pérez Lugones,Depicting of Graphical Communication Systems (GCS) in Aztec/Central Mexican manuscripts with Deep Learning: glyphic visual recognition and deciphering using Keras,Red Hen Lab
Osama Ahmad,On-canvas interactive boolean operations,Inkscape
Ashish  Malik,Casbin plugin for Kubernetes,Casbin
Aravind Murali,MSUI UI Redesign,Python Software Foundation
Pu (Luke) Yi,Analyzing Fault Injection in Java PathFinder and Symbolic PathFinder,Java PathFinder
RWMK,CodeLabz,SCoRe Lab
Prakhar Agarwal,Web App UI Cleanup,Purr Data
Asier Galicia,TensorFlow data backend for QuTiP,NumFOCUS
Chi Lung Cheng,Quple - Quantum GAN,Machine Learning for Science (ML4SCI) Umbrella Organization
João Seckler,Optimizing build and deploy in Kworkflow: towards the Beta release,The Linux Foundation
Aradhana Kund,DESIGN CHALLENGE,Cuneiform Digital Library Initiative (CDLI)
Chaitanya Kulkarni,Adding Adaptive Bayesian SLOPE (ABSLOPE) to the SLOPE Package,The R Project for Statistical Computing
Vedang Joshi,Trust anchor management for drg,JBoss Community
Mahmoud Khalil,Okular: Improve Custom/Image Stamp Annotation Handling,KDE Community
Mohammad Humayun Khan,Add WebAuthn Support to XWiki,XWiki
Pola Hano Shehat,Pola Hano,SCoRe Lab
Shubhanshu Saxena,Async Support for TensorFlow Backend in FFmpeg,Intel Video and Audio for Linux
Vishal Chaudhary,Port power policies end-to-end tests,Chromium
Daniil Pakhomov,Efficient Realistic Image Manipulation,MediaPipe
Mykola Medynskyi,Implement support for ScalaPy in Scala 3,Scala Center
Ajinkya Raghuwanshi,DSP hard block integration in SymbiFlow,SymbiFlow
Ji Hun Hong,Korean Translations and Website Improvements,Processing Foundation
Mohamed Mokhtar,Red Hen Rapid Annotator,Red Hen Lab
Darshil Patel,Introducing Ephemeral Channels in Rocket.Chat,Rocket.Chat
zbrown,Shell: Implementing Layout Managers in Rust,GNOME Foundation
Rahat Muneeb,"Snooze, search and filter for the Chrome DevTools Issues Tab",Chromium
Yongrong Chen,SwiftPM support for Swift scripts,Swift
Tarun Nagdeve,Development of  a Visual Recognition model for Aztec Hieroglyphs,Red Hen Lab
Konstantinos Doumanidis,HA-Auto:  Node-RED Compatible DSL for Home Assistant,GFOSS - Open Technology Alliance
Puranjay Mohan,IIO Driver: ADXL355 Accelerometer,The Linux Foundation
Martin Kostelník,Single precision support for GPU acceleration in VecGeom,CERN-HSF
Yash Rajpal,App: Bad-Words Filter,Rocket.Chat
Kamush,Implementing new language pair: Kazakh - Uzbek,Apertium
Atreya Majumdar,Make Deepchem More Robust: Implement Cutting-Edge Models and Other Features,Open Chemistry
Yuki Osaki,Language Server for RBS,Ruby
Dinko Franceschi,Tree-based models,TensorFlow
Quinn Okabayashi,Interpersonal Identity Verification,openSUSE Project
Mirali Ahmadli,Improve Eigen’s Tensor Module and Integration with TensorFlow,TensorFlow
Ashutosh Chauhan -,Angular Migration,Oppia Foundation
Subham Raj,OPEN DATA KIT: Improve the suitcase application,Digital Impact Alliance (DIAL) at UN Foundation
Nkoa Christophe,Multi currency memberships,CiviCRM LLC
Georgiy Lebedev,LLVM JIT engine for Tarantool's DQL,Tarantool
Harshavardhan Unnibhavi,Development of a vhost-user-vsock application and its integration with kata contianers,QEMU
Paulina Martin,MCMC Chains imporvements,The Julia Language
Eduardo Quintana Miranda,Boost.Math: FFT Utilities,Boost C++ Libraries
Tomás Assenza,Android native app for network selection capability in LibreMesh routers,freifunk
Amirfarhad Nilizadeh,Using Lightweight Specifications with Fuzzing and Symbolic Execution to Reveal Security and Semantic Bugs,Java PathFinder
Ashwath V A,Chord Symbol Style Editor,MuseScore
Alan Barzilay,Expanding support for Kworkflow: bootloaders  and Linux distributions,The Linux Foundation
Kartik,LasoMax,gprMax
Harshal Anil Shende,RooFit Development - Intuitive Python bindings for RooFit,CERN-HSF
Adithya Sunil Edakkadan,Porting BaseJump STL to FuseSoC,Free and Open Source Silicon Foundation
Dhruv Jain,Introduce Video and Audio calls to LiveChat,Rocket.Chat
Anshudhar Kumar Singh,Improvement in Export Options,Inkscape
Francesco Bursi,A new render type: On-the-fly Raster Calculator for QGIS,OSGeo - Open Source Geospatial Foundation
Guillem Lopez Paradis,Parallelising Verilog RTL Simulations Using MPI,Free and Open Source Silicon Foundation
Marlin Roberts,Improved Integration of String Solvers in SPF,Java PathFinder
Adarsh Kumar,Plug and Play Language Models in Julia,The Julia Language
Siddhant Jain,Neural QA Model for DBPedia,DBpedia
Gopi Manohar Tatiraju,Replacing boost spirits,mlpack
Jiarui Wang,Expected Returns: FactorAnalytics,The R Project for Statistical Computing
Hari Prashant Bhimaraju,Enhancing the Zulip Terminal Experience,Zulip
Lycanthrope,GSOC 2021 CodeLabz Proposal,SCoRe Lab
Anant Bhasin,E2E Testing for Android in Rocket.Chat.ReactNative,Rocket.Chat
Amr Maghraby,Machine detection of film edits,Red Hen Lab
tastatham,Geopandas - Dask bridge to scale geospatial analysis,NumFOCUS
Rithik Sharma,Clang Static Analyzer performance profiling,The LLVM Compiler Infrastructure
Aayush Sabharwal,Model Serialization and Pathfinding  for Agents.jl,The Julia Language
Rahul Halder,Voice Channels,Rocket.Chat
Yorguin Mantilla Ramos,SOVABIDS: A python package for the automatic conversion of MEG/EEG datasets that makes the most out of metadata,INCF
Gautam Jajoo,Improvements in EvalAI frontend,CloudCV
ABHISHEK AGARWAL,Final Step Towards Deployment,AOSSIE
Tomas Capretto,Extend available models and default priors in Bambi,NumFOCUS
Mai Nguyen,Distribution Checks,MGGG Redistricting Lab
Kapil (devkapilbansal),OpenWRT package for OpenWISP Monitoring,OpenWISP
Ahmed Alwasifey,Improving Conflict Resolution Process,Joplin
Rajan Jaiswal,Improving rutorrent mobile interface,CCExtractor Development
Deep Majumder,Making Smart Pointer Checkers default checkers in the Static Analyzer,The LLVM Compiler Infrastructure
Gourishankar Panda,Improve Kiwix Android Library,Kiwix
Yash Srivastava,Interface for reporting search bugs for Nominatim,OpenStreetMap
Yash Jipkate,Port wiki to ReadTheDocs or another documentation platform,"Center for Research in Open Source Software, UC Santa Cruz"
Remco Kranenburg,Predictive Text Input for Virtual Reality,xrdesktop
